feature,correlation
RET,1.0
BEME_ind,0.026737336282038917
spread_mean,0.02616648687726204
BEME,0.025259526137284462
IOR,0.022338953870161108
p3_intercept,-0.019606215722847792
VOL,0.019287582084055756
cum_return_36_13,-0.01795523136401227
S2P,0.01711810622758607
Turnover,0.01658004417171234
BEME_adj,0.015655339050441332
p1_intercept,-0.015077323072401921
beta_sq,-0.01331013340854316
idio_vol,0.012903828978027016
beta,-0.01206749994508705
cum_return_1_0,-0.01159269016530351
cum_return_60_1,-0.009857764347341386
LME_ind,-0.009604583756404286
sale_ind,-0.009187379730577504
p1_mktrf_beta,-0.009028264476851459
p1_smb_beta,-0.008916312943956912
CEI,0.007493991851715733
A2ME,0.0063545495841289025
LTurnover,-0.0063489834473167365
ol,0.0063128596855642075
std_vol,-0.00613520933302874
p3_mktrf_beta,-0.006106744433653259
beta_daily,-0.0060235295908666895
Div,0.006009465772927229
ret_max,0.005964239337885438
cum_return_12_7,0.005265190663546541
std_turn,-0.0052435146404570514
at_ind,-0.0052297365105244764
SICCD,-0.004959440258867371
c,-0.00492920939204587
d2a,0.0039511379688905975
ME,0.003582669222540154
DEC_SHROUT,-0.003095982662017315
cum_return_12_2,0.002933950155535684
E2P,-0.002910856502511293
Q,-0.0028862934043275904
NumOwners,0.002753848563810878
rel_to_high_price,-0.002564992363023432
cash_lt,-0.0024859661061418657
roa,0.0023084179528774654
p1_hml_beta,-0.0021269496219780263
be,-0.0020791818842241976
DEC_ME,-0.0019361906237630355
cum_return_6_2,-0.001837454092246753
sga2s,-0.001771876657132243
LME,-0.0017191529431274351
ROC,-0.00164044493814367
PRC,0.0016021398370234142
p3_n,-0.0015516721178487937
p1_n,-0.0015516721178487937
p3_lmktrf_beta,-0.0015484464160336027
suv,0.0014096720392233208
at,-0.001333559550810397
sales_g,-0.0013134116595567924
rna,0.001297346950569852
lev,-0.001190842274880201
Div_ann,0.0011582540585886969
pm,0.0010800535639303387
sale,-0.0010477964090829471
pm_adj,0.0008410494976281032
s2c,0.0008312790557455748
Unnamed: 0,-0.0008260098349972837
pcm,0.0008176841616091046
free_cf,-0.0008144159452141259
fc2y,-0.0006867680914986601
roe,-0.0006581964140308286
investment,-0.0005408549600830553
cto,0.0005021975127117942
s2invt,-0.0004569869733558987
d_ceq,0.00044767253420114413
at_adj,-0.0002613582813606398
noa,-0.00024325815605054637
prof,0.0002135427903735997
EPS,-0.00021265551859437037
oa,-0.00016190190793437996
ato,0.00010469739283828777
PERMNO,-7.544264915752495e-05
s2rect,-6.355147299569003e-05
roic,-5.72833417381376e-05
dpi2a,2.6867134378787907e-06
